level,city,name,total_pop_num,total_pop_per,male_num,male_per,female_num,female_per,under5_num,under5_per,age5_17_num,age5_17_per,age18_24_num,age18_24_per,age25_34_num,age25_34_per,age35_44_num,age35_44_per,age45_54_num,age45_54_per,age55_64_num,age55_64_per,age65plus_num,age65plus_per,total_pop_race_num,total_pop_race_per,hispanic_num,hispanic_per,white_num,white_per,black_num,black_per,asian_num,asian_per,other_race_num,other_race_per,total_hh_num,total_hh_per,family_hh_num,family_hh_per,family_hh_type_num,family_hh_type_per,married_hh_num,married_hh_per,male_hh_num,male_hh_per,female_hh_num,female_hh_per,married_hh_kids_num,married_hh_kids_per,male_hh_kids_num,male_hh_kids_per,female_hh_kids_num,female_hh_kids_per,total_units_num,total_units_per,vacant_num,vacant_per,occupied_num,occupied_per,owned_num,owned_per,rented_num,rented_per,ages16_19_num,ages16_19_per,disconnected_num,disconnected_per,age25plus_num,age25plus_per,less_than_hs_num,less_than_hs_per,hs_plus_num,hs_plus_per,bach_plus_num,bach_plus_per,total_pop_fb_num,total_pop_fb_per,foreign_born_num,foreign_born_per,entered_2010later_num,entered_2010later_per,naturalized_num,naturalized_per,not_citizen_num,not_citizen_per,age5plus_num,age5plus_per,english_only_num,english_only_per,other_home_lang_num,other_home_lang_per,low_english_num,low_english_per,spanish_num,spanish_per,spanish_low_eng_num,spanish_low_eng_per,age16plus_num,age16plus_per,labor_force_num,labor_force_per,civ_labor_force_num,civ_labor_force_per,civ_employed_num,civ_employed_per,civ_unemployed_num,civ_unemployed_per,not_in_force_num,not_in_force_per,unemployment_num,unemployment_per,workers_num,workers_per,work_home_num,work_home_per,work_not_home_num,work_not_home_per,drive_alone_num,drive_alone_per,carpool_num,carpool_per,public_transit_num,public_transit_per,walk_bike_num,walk_bike_per,other_transit_num,other_transit_per,kids_in_fams_num,kids_in_fams_per,kids_all_parents_work_num,kids_all_parents_work_per,employed_occ_num,employed_occ_per,management_num,management_per,service_num,service_per,sales_num,sales_per,resources_num,resources_per,production_num,production_per,households_inc_num,households_inc_per,hh_inc_under10_num,hh_inc_under10_per,hh_inc10_15_num,hh_inc10_15_per,hh_inc15_25_num,hh_inc15_25_per,hh_inc_under25_num,hh_inc_under25_per,hh_inc25_50_num,hh_inc25_50_per,hh_inc_under50_num,hh_inc_under50_per,hh_inc50_75_num,hh_inc50_75_per,hh_inc75_100_num,hh_inc75_100_per,hh_inc_100plus_num,hh_inc_100plus_per,hh_inc100_150_num,hh_inc100_150_per,hh_inc150_200_num,hh_inc150_200_per,hh_inc_200plus_num,hh_inc_200plus_per,avg_hh_inc_num,avg_hh_inc_per,families_inc_num,families_inc_per,fam_inc_under10_num,fam_inc_under10_per,fam_inc10_15_num,fam_inc10_15_per,fam_inc15_25_num,fam_inc15_25_per,fam_inc_under25_num,fam_inc_under25_per,fam_inc25_50_num,fam_inc25_50_per,fam_inc_under50_num,fam_inc_under50_per,fam_inc50_75_num,fam_inc50_75_per,fam_inc75_100_num,fam_inc75_100_per,fam_inc_100plus_num,fam_inc_100plus_per,fam_inc100_150_num,fam_inc100_150_per,fam_inc150_200_num,fam_inc150_200_per,fam_inc_200plus_num,fam_inc_200plus_per,pov_determined_num,pov_determined_per,poverty_num,poverty_per,low_inc_num,low_inc_per,twice_fpl_num,twice_fpl_per,under6_status_num,under6_status_per,under6_poverty_num,under6_poverty_per,under18_status_num,under18_status_per,under18_poverty_num,under18_poverty_per,over65_status_num,over65_status_per,over65_poverty_num,over65_poverty_per,families_pov_num,families_pov_per,family_poverty_num,family_poverty_per,occupied_units_num,occupied_units_per,hh_0_vehicle_num,hh_0_vehicle_per,hh_1_vehicle_num,hh_1_vehicle_per,hh_2plus_vehicle_num,hh_2plus_vehicle_per,not_crowded_num,not_crowded_per,overcrowded_num,overcrowded_per,owned_units_val_num,owned_units_val_per,val_under50_num,val_under50_per,val50_100_num,val50_100_per,val100_150_num,val100_150_per,val150_200_num,val150_200_per,val_200plus_num,val_200plus_per,val200_250_num,val200_250_per,val250_300_num,val250_300_per,val_300plus_num,val_300plus_per,owned_units_burden_num,owned_units_burden_per,owned_cost30_num,owned_cost30_per,owned_cost50_num,owned_cost50_per,rented_units_burden_num,rented_units_burden_per,rent_cost30_num,rent_cost30_per,rent_cost50_num,rent_cost50_per,units_burden_num,units_burden_per,units_cost30_num,units_cost30_per,units_cost50_num,units_cost50_per
neighborhood,Bridgeport,Black Rock,8284,NA,4e3,0.483,4284,0.517,654,0.079,818,0.099,448,0.054,2048,0.247,1193,0.144,922,0.111,963,0.116,1240,0.15,8284,NA,1698,0.205,4752,0.574,1383,0.167,128,0.015,323,0.039,3694,NA,1740,0.471,1740,NA,1122,0.645,123,0.071,495,0.284,443,0.255,42,0.024,207,0.119,4144,NA,450,0.109,3694,0.891,1259,0.341,2435,0.659,110,NA,9,0.082,6365,NA,3231,0.508,2465,0.387,1172,0.184,2165,NA,1902,0.879,266,0.123,639,0.295,1262,0.583,7630,NA,5145,0.674,2484,0.326,1080,0.142,1530,0.201,740,0.097,6864,NA,4999,0.728,4989,0.727,4534,0.661,455,0.066,1865,0.272,455,0.091,4488,NA,148,0.033,4341,0.967,3206,0.714,435,0.097,542,0.121,158,0.035,0,0,1446,NA,945,0.654,4534,NA,1807,0.399,1133,0.25,1092,0.241,202,0.045,302,0.067,3694,NA,294,0.08,130,0.035,390,0.106,814,0.22,679,0.184,1493,0.404,744,0.201,631,0.171,826,0.224,481,0.13,184,0.05,161,0.044,74712,NA,1740,NA,153,0.088,42,0.024,156,0.09,351,0.202,332,0.191,683,0.393,174,0.1,344,0.198,540,0.31,248,0.143,170,0.098,122,0.07,8284,NA,1184,0.143,2641,0.319,5644,0.681,793,NA,187,0.236,1471,NA,356,0.242,1239,NA,115,0.093,1740,NA,237,0.136,3694,NA,563,0.152,1679,0.455,1451,0.393,3599,0.974,95,0.026,1259,NA,0,0,97,0.077,187,0.149,183,0.145,794,0.631,134,0.106,196,0.156,464,0.369,1259,NA,489,0.388,172,0.137,2435,NA,1073,0.441,601,0.247,3694,NA,1562,0.423,773,0.209
neighborhood,Bridgeport,Brooklawn St Vincent,23625,NA,12219,0.517,11407,0.483,1469,0.062,3663,0.155,2470,0.105,4214,0.178,3515,0.149,2973,0.126,2695,0.114,2625,0.111,23625,NA,9171,0.388,6518,0.276,6246,0.264,814,0.034,876,0.037,8131,NA,5026,0.618,5026,NA,2902,0.577,614,0.122,1510,0.3,1410,0.281,239,0.048,796,0.158,9280,NA,1149,0.124,8131,0.876,3497,0.43,4635,0.57,1183,NA,80,0.068,16023,NA,10259,0.64,5816,0.363,1691,0.106,10178,NA,8633,0.848,1309,0.129,2689,0.264,5943,0.584,22155,NA,10606,0.479,11551,0.521,5793,0.261,7583,0.342,3850,0.174,19119,NA,13307,0.696,13307,0.696,11561,0.605,1746,0.091,5812,0.304,1746,0.131,11196,NA,354,0.032,10841,0.968,7365,0.658,1533,0.137,1263,0.113,454,0.041,225,0.02,4805,NA,3770,0.785,11561,NA,3115,0.269,3606,0.312,1915,0.166,1552,0.134,1371,0.119,8131,NA,648,0.08,441,0.054,990,0.122,2079,0.256,2212,0.272,4291,0.528,1411,0.174,1012,0.124,1417,0.174,887,0.109,210,0.026,320,0.039,64972,NA,5026,NA,293,0.058,173,0.034,365,0.073,831,0.165,1572,0.313,2403,0.478,918,0.183,622,0.124,1082,0.215,660,0.131,150,0.03,272,0.054,22624,NA,3759,0.166,9021,0.399,13603,0.601,1699,NA,479,0.282,5110,NA,1402,0.274,2494,NA,174,0.07,5026,NA,726,0.144,8131,NA,1443,0.177,3282,0.404,3406,0.419,7732,0.951,400,0.049,3497,NA,127,0.036,218,0.062,530,0.152,1145,0.327,1478,0.423,575,0.164,552,0.158,351,0.1,3497,NA,1667,0.477,828,0.237,4635,NA,2524,0.545,1545,0.333,8132,NA,4191,0.515,2373,0.292
neighborhood,Bridgeport,Downtown,3735,NA,1735,0.465,2e3,0.535,266,0.071,492,0.132,698,0.187,599,0.16,489,0.131,429,0.115,305,0.082,455,0.122,3735,NA,1690,0.452,595,0.159,1209,0.324,134,0.036,107,0.029,1642,NA,683,0.416,683,NA,160,0.234,111,0.163,413,0.605,58,0.085,43,0.063,140,0.205,1898,NA,256,0.135,1642,0.865,109,0.066,1533,0.934,336,NA,58,0.173,2277,NA,1370,0.602,694,0.305,257,0.113,1271,NA,790,0.622,284,0.223,221,0.174,569,0.448,3469,NA,1928,0.556,1541,0.444,701,0.202,1222,0.352,573,0.165,3047,NA,1687,0.554,1687,0.554,1305,0.428,382,0.125,1360,0.446,382,0.226,1288,NA,42,0.033,1246,0.967,757,0.588,65,0.05,319,0.248,82,0.064,23,0.018,735,NA,586,0.797,1305,NA,355,0.272,456,0.349,321,0.246,82,0.063,91,0.07,1642,NA,392,0.239,259,0.158,385,0.234,1036,0.631,237,0.144,1273,0.775,149,0.091,145,0.088,76,0.046,45,0.027,18,0.011,13,0.008,33715,NA,683,NA,93,0.136,77,0.113,183,0.268,353,0.517,157,0.23,510,0.747,57,0.083,65,0.095,51,0.075,33,0.048,6,0.009,12,0.018,3455,NA,1550,0.449,2400,0.695,1055,0.305,311,NA,215,0.691,744,NA,484,0.651,447,NA,162,0.362,683,NA,267,0.391,1642,NA,796,0.485,557,0.339,289,0.176,1583,0.964,59,0.036,109,NA,11,0.101,34,0.312,17,0.156,26,0.239,22,0.202,3,0.028,4,0.037,15,0.138,109,NA,43,0.394,10,0.092,1533,NA,834,0.544,467,0.305,1642,NA,877,0.534,477,0.29
neighborhood,Bridgeport,East End,9310,NA,4368,0.469,4942,0.531,772,0.083,1870,0.201,1043,0.112,1468,0.158,1297,0.139,1247,0.134,864,0.093,753,0.081,9310,NA,3877,0.416,506,0.054,4560,0.49,182,0.02,184,0.02,3051,NA,2059,0.675,2059,NA,989,0.48,208,0.101,862,0.419,523,0.254,99,0.048,422,0.205,3708,NA,657,0.177,3051,0.823,914,0.3,2137,0.7,523,NA,57,0.109,5624,NA,3030,0.539,1850,0.329,343,0.061,2755,NA,1861,0.675,590,0.214,728,0.264,1134,0.412,8538,NA,5322,0.623,3218,0.377,1716,0.201,2565,0.3,1401,0.164,6942,NA,4998,0.72,4998,0.72,3990,0.575,1008,0.145,1944,0.28,1008,0.202,3809,NA,66,0.017,3742,0.982,2308,0.606,531,0.139,665,0.175,182,0.048,56,0.015,2581,NA,1740,0.674,3990,NA,728,0.182,1382,0.346,871,0.218,301,0.075,708,0.177,3051,NA,429,0.141,225,0.074,353,0.116,1007,0.33,1003,0.329,2010,0.659,521,0.171,266,0.087,254,0.083,190,0.062,56,0.018,8,0.003,44830,NA,2059,NA,242,0.118,81,0.039,238,0.116,561,0.272,744,0.361,1305,0.634,353,0.171,226,0.11,175,0.085,113,0.055,54,0.026,8,0.004,9234,NA,2620,0.284,5640,0.611,3595,0.389,985,NA,365,0.371,2627,NA,946,0.36,740,NA,142,0.192,2059,NA,488,0.237,3051,NA,696,0.228,1408,0.461,947,0.31,2850,0.934,202,0.066,914,NA,130,0.142,217,0.237,189,0.207,256,0.28,122,0.133,40,0.044,64,0.07,18,0.02,914,NA,372,0.407,211,0.231,2137,NA,1360,0.636,824,0.386,3051,NA,1732,0.568,1035,0.339
neighborhood,Bridgeport,East Side,13808,NA,6496,0.47,7312,0.53,1473,0.107,2888,0.209,1516,0.11,2362,0.171,1914,0.139,1438,0.104,1305,0.095,912,0.066,13808,NA,8198,0.594,266,0.019,4734,0.343,271,0.02,339,0.025,4343,NA,3140,0.723,3140,NA,1156,0.368,405,0.129,1579,0.503,521,0.166,252,0.08,554,0.176,5050,NA,707,0.14,4343,0.86,921,0.212,3422,0.788,806,NA,174,0.216,7931,NA,4814,0.607,2580,0.325,360,0.045,5480,NA,3309,0.604,928,0.169,877,0.16,2432,0.444,12335,NA,5196,0.421,7139,0.579,3687,0.299,6375,0.517,3387,0.275,9952,NA,6774,0.681,6774,0.681,5439,0.547,1335,0.134,3178,0.319,1335,0.197,5369,NA,77,0.014,5292,0.986,2975,0.554,1200,0.224,603,0.112,374,0.07,140,0.026,3986,NA,2903,0.728,5439,NA,669,0.123,1896,0.349,1471,0.27,402,0.074,1001,0.184,4343,NA,723,0.166,323,0.074,760,0.175,1806,0.416,1321,0.304,3127,0.72,564,0.13,257,0.059,395,0.091,316,0.073,53,0.012,26,0.006,42254,NA,3140,NA,361,0.115,192,0.061,568,0.181,1121,0.357,1126,0.359,2247,0.716,431,0.137,125,0.04,337,0.107,266,0.085,53,0.017,18,0.006,13647,NA,4448,0.326,8461,0.62,5186,0.38,1591,NA,662,0.416,4292,NA,1769,0.412,912,NA,251,0.275,3140,NA,869,0.277,4343,NA,1245,0.287,1863,0.429,1235,0.284,4018,0.925,325,0.075,921,NA,35,0.038,134,0.145,191,0.207,405,0.44,156,0.169,77,0.084,54,0.059,25,0.027,921,NA,488,0.53,215,0.233,3422,NA,2179,0.637,1395,0.408,4343,NA,2667,0.614,1610,0.371
neighborhood,Bridgeport,Enterprise,728,NA,357,0.49,372,0.511,73,0.1,122,0.168,65,0.089,117,0.161,101,0.139,92,0.126,90,0.124,67,0.092,728,NA,270,0.371,123,0.169,272,0.374,30,0.041,33,0.045,270,NA,172,0.637,172,NA,95,0.552,14,0.081,62,0.36,40,0.233,9,0.052,20,0.116,316,NA,46,0.146,270,0.854,87,0.322,183,0.678,35,NA,4,0.114,468,NA,272,0.581,152,0.325,41,0.088,351,NA,296,0.843,38,0.108,85,0.242,210,0.598,654,NA,314,0.48,340,0.52,188,0.287,196,0.3,114,0.174,557,NA,423,0.759,423,0.759,364,0.654,59,0.106,135,0.242,59,0.139,355,NA,2,0.006,353,0.994,237,0.668,59,0.166,38,0.107,10,0.028,9,0.025,171,NA,123,0.719,364,NA,67,0.184,155,0.426,57,0.157,39,0.107,46,0.126,270,NA,24,0.089,19,0.07,55,0.204,98,0.363,70,0.259,168,0.622,45,0.167,22,0.081,35,0.13,29,0.107,0,0,6,0.022,54890,NA,172,NA,8,0.047,2,0.012,32,0.186,42,0.244,55,0.32,97,0.564,26,0.151,18,0.105,31,0.18,25,0.145,0,0,6,0.035,726,NA,159,0.219,410,0.565,318,0.438,88,NA,31,0.352,196,NA,58,0.296,66,NA,2,0.03,172,NA,27,0.157,270,NA,75,0.278,116,0.43,79,0.293,263,0.974,7,0.026,87,NA,2,0.023,4,0.046,25,0.287,21,0.241,36,0.414,17,0.195,6,0.069,13,0.149,87,NA,51,0.586,31,0.356,183,NA,124,0.678,91,0.497,270,NA,175,0.648,122,0.452
neighborhood,Bridgeport,Hollow,7280,NA,3603,0.495,3676,0.505,589,0.081,1492,0.205,1084,0.149,1357,0.186,1014,0.139,859,0.118,526,0.072,362,0.05,7280,NA,3625,0.498,1242,0.171,1921,0.264,77,0.011,415,0.057,2261,NA,1639,0.725,1639,NA,537,0.328,239,0.146,863,0.527,256,0.156,121,0.074,297,0.181,2706,NA,445,0.164,2261,0.836,367,0.162,1895,0.838,537,NA,108,0.201,4116,NA,2532,0.615,1385,0.336,187,0.045,3065,NA,2573,0.839,517,0.169,524,0.171,2050,0.669,6690,NA,2725,0.407,3966,0.593,2199,0.329,2940,0.439,1598,0.239,5436,NA,4009,0.737,4009,0.737,3280,0.603,729,0.134,1427,0.263,729,0.182,3229,NA,199,0.062,3030,0.938,1655,0.513,451,0.14,502,0.155,351,0.109,71,0.022,1970,NA,1596,0.81,3280,NA,414,0.126,1154,0.352,586,0.179,649,0.198,476,0.145,2261,NA,327,0.145,233,0.103,490,0.217,1050,0.464,498,0.22,1548,0.685,371,0.164,143,0.063,199,0.088,126,0.056,35,0.015,38,0.017,46303,NA,1639,NA,302,0.184,189,0.115,321,0.196,812,0.495,356,0.217,1168,0.713,209,0.128,98,0.06,163,0.099,108,0.066,26,0.016,29,0.018,7256,NA,2808,0.387,4598,0.634,2658,0.366,785,NA,519,0.661,2056,NA,1233,0.6,360,NA,89,0.247,1639,NA,698,0.426,2261,NA,753,0.333,873,0.386,635,0.281,2012,0.89,250,0.111,367,NA,17,0.046,29,0.079,100,0.272,80,0.218,140,0.381,62,0.169,47,0.128,31,0.084,367,NA,148,0.403,80,0.218,1895,NA,1148,0.606,757,0.399,2262,NA,1296,0.573,837,0.37
neighborhood,Bridgeport,Mill Hill,12776,NA,6283,0.492,6493,0.508,887,0.069,2144,0.168,1341,0.105,2061,0.161,1646,0.129,1651,0.129,1520,0.119,1526,0.119,12776,NA,5004,0.392,1928,0.151,5078,0.397,595,0.047,172,0.013,4830,NA,2902,0.601,2902,NA,1143,0.394,358,0.123,1400,0.482,540,0.186,150,0.052,600,0.207,5540,NA,710,0.128,4830,0.872,2209,0.457,2620,0.542,601,NA,89,0.148,8405,NA,4533,0.539,2867,0.341,589,0.07,4538,NA,3347,0.738,545,0.12,1403,0.309,1943,0.428,11889,NA,6804,0.572,5086,0.428,2549,0.214,3636,0.306,1603,0.135,10063,NA,6913,0.687,6913,0.687,5807,0.577,1106,0.11,3150,0.313,1106,0.16,5660,NA,163,0.029,5498,0.971,3761,0.664,736,0.13,558,0.099,368,0.065,75,0.013,2725,NA,2141,0.786,5807,NA,1346,0.232,1513,0.261,1403,0.242,440,0.076,1104,0.19,4830,NA,554,0.115,287,0.059,824,0.171,1665,0.345,1317,0.273,2982,0.617,849,0.176,524,0.108,475,0.098,311,0.064,100,0.021,64,0.013,50108,NA,2902,NA,203,0.07,65,0.022,434,0.15,702,0.242,766,0.264,1468,0.506,570,0.196,450,0.155,415,0.143,294,0.101,57,0.02,64,0.022,12306,NA,2460,0.2,5742,0.467,6563,0.533,888,NA,227,0.256,2881,NA,740,0.257,1362,NA,309,0.227,2902,NA,411,0.142,4830,NA,1189,0.246,2107,0.436,1535,0.318,4532,0.938,296,0.061,2209,NA,437,0.198,599,0.271,342,0.155,535,0.242,300,0.136,127,0.057,105,0.048,68,0.031,2209,NA,804,0.364,355,0.161,2620,NA,1633,0.623,1003,0.383,4829,NA,2437,0.505,1358,0.281
neighborhood,Bridgeport,North End,24131,NA,11812,0.489,12319,0.511,1185,0.049,3583,0.148,3475,0.144,3490,0.145,3212,0.133,3155,0.131,2929,0.121,3101,0.129,24131,NA,6564,0.272,9720,0.403,6565,0.272,611,0.025,671,0.028,8097,NA,5504,0.68,5504,NA,3881,0.705,427,0.078,1196,0.217,1650,0.3,168,0.031,717,0.13,8882,NA,785,0.088,8097,0.912,5600,0.692,2496,0.308,2e3,NA,61,0.03,15887,NA,8830,0.556,6568,0.413,2146,0.135,8235,NA,7515,0.913,796,0.097,3284,0.399,4231,0.514,22946,NA,13190,0.575,9755,0.425,4337,0.189,5275,0.23,2231,0.097,20023,NA,13668,0.683,13668,0.683,12249,0.612,1419,0.071,6355,0.317,1419,0.104,11960,NA,300,0.025,11661,0.975,9162,0.766,1409,0.118,732,0.061,312,0.026,45,0.004,4477,NA,3760,0.84,12249,NA,3735,0.305,2726,0.223,3094,0.253,1220,0.1,1474,0.12,8097,NA,524,0.065,359,0.044,614,0.076,1497,0.185,1862,0.23,3359,0.415,1279,0.158,1251,0.155,2209,0.273,1321,0.163,461,0.057,427,0.053,79829,NA,5504,NA,210,0.038,209,0.038,184,0.033,603,0.11,1296,0.235,1899,0.345,907,0.165,961,0.175,1735,0.315,1085,0.197,342,0.062,308,0.056,22821,NA,2492,0.109,6534,0.286,16286,0.714,1351,NA,185,0.137,4633,NA,567,0.122,3039,NA,324,0.107,5504,NA,508,0.092,8097,NA,637,0.079,2897,0.358,4565,0.564,7697,0.951,400,0.049,5600,NA,214,0.038,416,0.074,1062,0.19,1940,0.346,1967,0.351,998,0.178,587,0.105,382,0.068,5600,NA,2100,0.375,999,0.178,2496,NA,1348,0.54,710,0.284,8096,NA,3448,0.426,1709,0.211
neighborhood,Bridgeport,Reservoir Whiskey Hill,8739,NA,4150,0.475,4590,0.525,670,0.077,1590,0.182,976,0.112,1190,0.136,1067,0.122,1420,0.162,903,0.103,926,0.106,8739,NA,2615,0.299,1136,0.13,4495,0.514,116,0.013,377,0.043,2779,NA,2169,0.78,2169,NA,1185,0.546,206,0.095,778,0.359,487,0.225,109,0.05,408,0.188,3040,NA,261,0.086,2779,0.914,1911,0.688,868,0.312,356,NA,37,0.104,5505,NA,2808,0.51,2137,0.388,429,0.078,2710,NA,2275,0.839,270,0.1,1205,0.445,1070,0.395,8069,NA,4663,0.578,3407,0.422,1170,0.145,2099,0.26,710,0.088,6698,NA,4983,0.744,4983,0.744,4260,0.636,723,0.108,1715,0.256,723,0.145,4202,NA,53,0.013,4149,0.987,3076,0.732,474,0.113,458,0.109,79,0.019,62,0.015,2192,NA,1888,0.861,4260,NA,997,0.234,1163,0.273,1097,0.258,333,0.078,670,0.157,2779,NA,243,0.087,85,0.031,200,0.072,528,0.19,814,0.293,1342,0.483,439,0.158,402,0.145,594,0.214,404,0.145,127,0.046,63,0.023,67198,NA,2169,NA,132,0.061,19,0.009,155,0.071,306,0.141,670,0.309,976,0.45,331,0.153,341,0.157,521,0.24,352,0.162,117,0.054,52,0.024,8694,NA,1164,0.134,3321,0.382,5373,0.618,768,NA,218,0.284,2215,NA,496,0.224,925,NA,78,0.084,2169,NA,244,0.112,2779,NA,282,0.101,782,0.281,1712,0.616,2647,0.953,131,0.047,1911,NA,195,0.102,154,0.081,432,0.226,477,0.25,652,0.341,326,0.171,194,0.102,132,0.069,1911,NA,955,0.5,403,0.211,868,NA,533,0.614,260,0.3,2779,NA,1488,0.535,663,0.239
